Number of mutations,MeanG1,MeanG2,MeanG3,MeanG4,MeanG5
0,0.0,0.0,4.217424997037711,7.592978502599684,8.686841968130452
1,1.4047010229809416,1.4236834692374407,4.402029286882166,6.398508071909471,6.950897257973598
2,2.1080006567842373,2.2660295218695934,4.355522293553743,5.825712756119607,5.9576407576022765
3,2.637136346184153,2.621950389178953,4.392063502597504,5.285662160122205,5.5680260481876305
4,2.9223476011880534,2.9304151408470656,4.260135501114835,5.016111423279916,5.169394676801147
5,3.1876272876226297,3.1349509992608446,4.184205716088838,4.7669668161633645,4.970078991107905
6,3.2967763535975,3.375553505561972,4.124411010380866,4.6274458361780955,4.862828169758686
7,3.528836759083203,3.617105134175924,4.039939124539445,4.549143245370035,4.740865952560677
8,3.5971735656066004,3.5724963854731513,4.160952219424627,4.4528073306183025,4.6563940667192565
9,3.782252416607468,3.7248305166815574,4.167121514457989,4.399181919943692,4.690087908824542
10,3.869571669387364,3.879537453672026,4.210781140847938,4.364538955525581,4.519245892516049
11,4.001499670870033,4.048481225354869,4.095462779839704,4.308540739068908,4.284812681248284
12,4.182307471463188,4.09261541290123,4.041837369165094,4.137224161604003,4.2544407672378854
13,4.288134609343171,4.081700506303743,4.145291701263015,4.157630291329739,4.187053083027313
14,4.264406551522548,4.104954002967954,4.184680277245251,4.105428564124367,4.07173472201908
15,4.197493428468388,4.1210890822859785,4.169968881396464,4.047532103042044,4.037566318757382
