Samples,Entropy,GlobalScaled,LocalScaled,UnscaledMean
10,3.321928094887362,7.824110558704571,2.0168957783209946,7.824109999999999
100,6.407341345230693,9.066762647439948,3.5698385297472583,9.066762000000004
1000,9.33629130359206,9.059398646914106,5.628940268034811,9.059397999999995
10000,11.716433774550522,9.05240308641455,6.512754823286597,9.052402440000003
100000,13.167160008113223,9.091081508176506,7.840149971882926,9.091080859000002
1000000,13.807707095657161,9.099512051978524,8.009684324969378,9.099511402200005
10000000,13.996389248078525,9.09792828993543,8.675042233672164,9.097927640270012
100000000,14.038616168185403,9.098843212881752,8.73971436982839,9.09884256315101
1000000000,14.045141440289907,9.098519870112165,9.036836946692091,9.098519220404498
